p,n_events,cutoff,pr_local_large_a,pr_inflicted_large_a,pr_any_large_a,pr_global_large,global_cutoff,tag,N,za,zb,network_model,sf_m,sf_gamma,loss_prob,loss_mode,bulk_only,steps,transient,rep
0.0001,173225,1000,0.06718832116788322,0.0,0.03321114157887141,0.02448260932313465,2000,sf_static_N2000_za3_zb3_p0.0001_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0001,174002,1000,0.06684096062190552,0.0,0.0332065148676452,0.024402018367604972,2000,sf_static_N2000_za3_zb3_p0.0001_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.0002,173177,1000,0.06784383339407263,0.0,0.03332428671243872,0.023190146497514105,2000,sf_static_N2000_za3_zb3_p0.0002_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0002,175710,1000,0.0661531695104485,0.0,0.03338455409481532,0.024210346593819362,2000,sf_static_N2000_za3_zb3_p0.0002_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.0003,174151,1000,0.06627439926714114,0.0,0.03240291471194538,0.024484499084128142,2000,sf_static_N2000_za3_zb3_p0.0003_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0003,175952,1000,0.06646414856422307,0.0,0.03295216877330181,0.023040374647631173,2000,sf_static_N2000_za3_zb3_p0.0003_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.0005,173708,1000,0.0655389901645393,0.0024143203688161783,0.0339305040642918,0.023815828862228567,2000,sf_static_N2000_za3_zb3_p0.0005_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0005,172433,1000,0.06658412923004363,0.0025221688369492026,0.034030608990158494,0.024711047189343107,2000,sf_static_N2000_za3_zb3_p0.0005_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.0007,176193,1000,0.06544104688050757,0.0,0.0337187061915059,0.022753457855873956,2000,sf_static_N2000_za3_zb3_p0.0007_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0007,175502,1000,0.0648556183657517,0.004069747446376779,0.03464347984638352,0.024056705906485395,2000,sf_static_N2000_za3_zb3_p0.0007_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.001,173890,1000,0.06556420670002468,0.0032800037755439143,0.035206164816838234,0.023785151532578066,2000,sf_static_N2000_za3_zb3_p0.001_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.001,174798,1000,0.06466893096906842,0.003618970783149888,0.034365381754939986,0.0244339180082152,2000,sf_static_N2000_za3_zb3_p0.001_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
0.0015,176052,1000,0.06534399927483683,0.0020615973392865278,0.03378547247404176,0.023839547406448097,2000,sf_static_N2000_za3_zb3_p0.0015_m2_g2.2_rep0,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,0
0.0015,175271,1000,0.06366068886991176,0.006232417720650458,0.03500864375738143,0.0242823969738291,2000,sf_static_N2000_za3_zb3_p0.0015_m2_g2.2_rep1,2000,3,3,sf_static,2,2.2,0.01,per-toppling,False,300000,30000,1
